VirtualMachine [vmId=330, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=1] allocated to server with id: 1
VirtualMachine [vmId=333, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=334, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=339, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=338, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=344, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=343, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=348, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=4] allocated to server with id: 4
VirtualMachine [vmId=349, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=353, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=4] allocated to server with id: 4
VirtualMachine [vmId=354, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=363, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=4] allocated to server with id: 4
VirtualMachine [vmId=364, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=369, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=368, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=374, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=373, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=379, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=378, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=384, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=383, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=388, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=389, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=394, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=393, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=399, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=398, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=403, state=Running, name=NUR, vmMips=250, cpu=1, ram=1, hdd=1, server=5] allocated to server with id: 5
VirtualMachine [vmId=404, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=409, state=Running, name=NUR, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
